央视,#genre#
CCTV-1综合,http://39.134.176.253/PLTV/88888888/224/3221226527/index.m3u8
CCTV-2财经,http://39.134.176.253/PLTV/88888888/224/3221226468/index.m3u8
CCTV-3综艺,http://39.134.176.253/PLTV/88888888/224/3221226431/index.m3u8
CCTV-4中文国际,http://39.134.176.253/PLTV/88888888/224/3221226171/index.m3u8
CCTV-5体育,http://39.134.176.253/PLTV/88888888/224/3221226400/index.m3u8
CCTV-5+体育赛事,http://39.134.176.253/PLTV/88888888/224/3221226166/index.m3u8
CCTV-6电影,http://39.134.176.253/PLTV/88888888/224/3221226487/index.m3u8
CCTV-7国防军事,http://39.134.176.253/PLTV/88888888/224/3221226122/index.m3u8
CCTV-8电视剧,http://39.134.176.253/PLTV/88888888/224/3221226330/index.m3u8
CCTV-9纪录,http://39.134.176.253/PLTV/88888888/224/3221226561/index.m3u8
CCTV-10科教,http://39.134.176.253/PLTV/88888888/224/3221226199/index.m3u8
CCTV-11戏曲,http://39.134.176.253/PLTV/88888888/224/3221226219/index.m3u8
CCTV-12社会与法,http://39.134.176.253/PLTV/88888888/224/3221226167/index.m3u8
CCTV-13新闻,http://39.134.176.253/PLTV/88888888/224/3221226193/index.m3u8
CCTV-14少儿,http://39.134.176.253/PLTV/88888888/224/3221226126/index.m3u8
CCTV-15音乐,http://39.134.176.253/PLTV/88888888/224/3221226112/index.m3u8
CCTV-16奥运,http://ott-live.olympicchannel.com/out/u/OC1_1.m3u8
CCTV-4K,http://39.134.176.253/PLTV/88888888/224/3221226758/index.m3u8
CETV-1,http://39.134.176.253/PLTV/88888888/224/3221226132/index.m3u8
CCTV-高尔夫•网球,http://39.134.176.253/PLTV/88888888/224/3221226402/index.m3u8
CGTN,http://39.134.176.253/PLTV/88888888/224/3221226314/index.m3u8
CCTV-NEWS,http://223.110.242.139:6610/gitv/live1/G_CCTV-NEWS/G_CCTV-NEWS/


卫视,#genre#
湖南卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225745/index.m3u8
浙江卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225744/index.m3u8
江苏卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225743/index.m3u8
东方卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225658/index.m3u8
山东卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225738/index.m3u8
北京卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225673/index.m3u8
辽宁卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225735/index.m3u8
黑龙江卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225736/index.m3u8
广东卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225742/index.m3u8
安徽卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225737/index.m3u8
深圳卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225741/index.m3u8
天津卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225739/index.m3u8
重庆卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225734/index.m3u8
东南卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225657/index.m3u8
广西卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225731/index.m3u8
河北卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225732/index.m3u8
河南卫视,http://114.116.254.166/proxy/yfy/yfy.php?id=78
湖北卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225745/index.m3u8
江西卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225746/index.m3u8
吉林卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225680/index.m3u8
山西卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225730/index.m3u8
陕西卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225729/index.m3u8
甘肃卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225724/index.m3u8
四川卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225733/index.m3u8
云南卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225664/index.m3u8
贵州卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225728/index.m3u8
海南卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225722/index.m3u8
宁夏卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225726/index.m3u8
青海卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225727/index.m3u8
内蒙古卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225667/index.m3u8
西藏卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225723/index.m3u8
新疆卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225725/index.m3u8
